webpage,name,manufacturer,price,short_description,date_scraped,city,state,store_address,store_name
Mapco,Block para Construcción,BLOCK ALMA,23.40,,2025-09-03,,,,
Mapco,Block Cara Cortada,BLOCK ALMA,35.90,,2025-09-03,,,,
Mapco,Adoquín Holandés,BLOCK ALMA,12.00,,2025-09-03,,,,
Mapco,Adoquín Azteca,BLOCK ALMA,19.00,,2025-09-03,,,,
Mapco,Cemento Campana 25 kg,CEMEX,179.50,,2025-09-03,,,,
Mapco,Cemento Centenario 25 kg,CEMEX,177.00,,2025-09-03,,,,
Mapco,Multiplast 40 kg,CEMEX,320.50,,2025-09-03,,,,
Mapco,Cemento Antihumedad 25 kg,CEMEX,218.00,,2025-09-03,,,,
Mapco,Mortero Campana 25 kg,CEMEX,155.50,,2025-09-03,,,,
Mapco,Mortero Centenario 25 kg,CEMEX,177.00,,2025-09-03,,,,
Mapco,Cal Calidra 25 kg,CALIDRA,148.00,,2025-09-03,,,,
Mapco,Pegazulejo 20 kg,Niasa,105.70,,2025-09-03,,,,
Mapco,Pegazulejo MortarMas 20 kg,Cemenquin,139.40,,2025-09-03,,,,
Mapco,Pegazulejo C Pega 20 kg,Niasa,137.50,,2025-09-03,,,,
Mapco,Pegavitro 20 kg,Niasa,160.50,,2025-09-03,,,,
Mapco,Pegamármol 20 kg,Niasa,152.00,,2025-09-03,,,,
Mapco,Varilla Corrugada,DEACERO,16.70,,2025-09-03,,,,
Mapco,Morteto P/Enjarre Extra Fino 25kg,Yinsa,157.00,,2025-09-03,,,,
Mapco,Mortero P/Enjarre Fino 25kg,Yinsa,28.00,,2025-09-03,,,,
Mapco,Varilla Roscada,Mapco Materiales,"2,188.00",,2025-09-03,,,,
Mapco,Armex,Mapco Materiales,23.00,,2025-09-03,,,,
Mapco,Yeso Mocuzari 25 kg,Yinsa,126.00,,2025-09-03,,,,
Mapco,Tablaroca 4x8 Lightrey 1/2 in,Panel Rey,233.00,,2025-09-03,,,,
Mapco,Clavo con Cabeza,Mapco Materiales,152.00,,2025-09-03,,,,
Home Depot,BLOCK HUECO (8 PULGADAS) 20 X 20 X 40 CM 2 HOYOS,NA,"Block hueco (8 pulgadas), fabricado en concreto que le proporcionan durabilidad y resistencia durante su uso en trabajos de construcción. Tiene un diseño con 2 hoyos que lo hacen más ligero y facilitan su colocación.",22.3,2025-09-03,Tlaquepaque,Jalisco,"Gral. Marcelino García Barragán #1455 esq. con Hator,   Col. San Pedro,   Tlaquepaque, C.P.  44360 ",Tlaquepaque
Home Depot,THERMOTEK ADMIX MICROFIBER M60,THERMOTEK,Fibras de polipropileno 100% virgen en un empaque hidrosoluble.,189.0,2025-09-03,Tlaquepaque,Jalisco,"Gral. Marcelino García Barragán #1455 esq. con Hator,   Col. San Pedro,   Tlaquepaque, C.P.  44360 ",Tlaquepaque
Home Depot,IMPERMEABILIZANTE FESTEGRAL 20 KG,FESTER,Impermeabilizante integral para concreto y morteros festergral 20kg.,849.0,2025-09-03,Tlaquepaque,Jalisco,"Gral. Marcelino García Barragán #1455 esq. con Hator,   Col. San Pedro,   Tlaquepaque, C.P.  44360 ",Tlaquepaque
Home Depot,MORTERO FESTERGROUT NM 800 30 KG,FESTER,Mortero sin contracción y estabilizador de volumen no metálico festergrout nm 800 30 kg.,1399.0,2025-09-03,Tlaquepaque,Jalisco,"Gral. Marcelino García Barragán #1455 esq. con Hator,   Col. San Pedro,   Tlaquepaque, C.P.  44360 ",Tlaquepaque
Home Depot,SLTK DESMOLD AE DESMOLDANTE TAMBO 200 LTS,PERDURA,"Desmoldante para cimbras base aceite emulsionado, tambo de 200 lts.",6549.0,2025-09-03,Tlaquepaque,Jalisco,"Gral. Marcelino García Barragán #1455 esq. con Hator,   Col. San Pedro,   Tlaquepaque, C.P.  44360 ",Tlaquepaque
Home Depot,"SLTK MEMBRACURE MEMBRANA DE CURADO, TAMBO DE 200 LTS",PERDURA,Membracure es una emulsión blanca a base de parafina de apariencia lechosa que forma una membrana sobre elementos de concreto recientemente colados.,4049.0,2025-09-03,Tlaquepaque,Jalisco,"Gral. Marcelino García Barragán #1455 esq. con Hator,   Col. San Pedro,   Tlaquepaque, C.P.  44360 ",Tlaquepaque
Home Depot,ADHESIVO EPÓXICO DE 600 ML,NA,"Adhesivo epóxico de 600 ml AnchorFix-3001 Sika es útil a la hora de colocar anclajes de barras de acero o pernos roscados en superficies de concreto, piedra o bloques. Apto para usarse en condiciones secas, húmedas y sumergidas.",2369.0,2025-09-03,Tlaquepaque,Jalisco,"Gral. Marcelino García Barragán #1455 esq. con Hator,   Col. San Pedro,   Tlaquepaque, C.P.  44360 ",Tlaquepaque
