city,date_scraped,manufacturer,name,price,product,short_description,state,store_address,store_name,webpage
Navojoa,2025-09-09,BLOCK ALMA,Block para Construcción,23.40,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,BLOCK ALMA,Block Cara Cortada,35.90,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,BLOCK ALMA,Adoquín Holandés,12.00,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,BLOCK ALMA,Adoquín Azteca,19.00,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,CEMEX,Cemento Campana 25 kg,179.50,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,CEMEX,Cemento Centenario 25 kg,177.00,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,CEMEX,Multiplast 40 kg,320.50,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,CEMEX,Cemento Antihumedad 25 kg,218.00,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,CEMEX,Mortero Campana 25 kg,155.50,Mortero,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,CEMEX,Mortero Centenario 25 kg,177.00,Mortero,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,CALIDRA,Cal Calidra 25 kg,148.00,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,Niasa,Pegazulejo 20 kg,192.20,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,Cemenquin,Pegazulejo MortarMas 20 kg,105.70,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,Niasa,Pegazulejo C Pega 20 kg,139.40,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,Niasa,Pegavitro 20 kg,283.80,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,Niasa,Pegamármol 20 kg,177.60,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,DEACERO,Varilla Corrugada,137.50,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,Yinsa,Morteto P/Enjarre Extra Fino 25kg,160.50,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,Yinsa,Mortero P/Enjarre Fino 25kg,152.00,Mortero,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,Mapco Materiales,Varilla Roscada,16.70,,,Sonora,,Navojoa,Mapco
Navojoa,2025-09-09,Mapco Materiales,Armex,157.00,,,Sonora,,Navojoa,Mapco
